Network Type,p,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
small world,0,0.94954714,0.948059982,0.94636457,0.946872813,0.950404042,0.947371809,0.949582955,0.947189159,0.948725383,0.94876037,0.949516277,0.948843009,0.949959283,0.947690413,0.94940096,0.949716363,0.949288978,0.948203499,0.947916281,0.948343335
small world,0.1,0.949559979,0.947026024,0.948211756,0.95061183,0.947646243,0.947805508,0.948080386,0.948423569,0.948444884,0.947803632,0.94786944,0.949035163,0.947833776,0.94730491,0.947177699,0.949174935,0.949018166,0.948193043,0.949634398,0.94876192
small world,0.2,0.947719368,0.947382636,0.948762934,0.94823923,0.94727341,0.94570801,0.947608678,0.948539881,0.949041359,0.948700833,0.946555037,0.949480166,0.946292491,0.94814939,0.947321213,0.948271757,0.947689849,0.947540843,0.947674545,0.948317446
small world,0.4,0.945863365,0.945084421,0.943724732,0.943974535,0.942330968,0.946506206,0.946314501,0.943862821,0.944832144,0.943828384,0.944683774,0.945941976,0.942265309,0.9438337,0.945232104,0.944771762,0.94422928,0.944179036,0.944742686,0.945741587
small world,0.5,0.929031239,0.921440044,0.936029148,0.926964524,0.926966175,0.931040342,0.933066527,0.929005038,0.92807758,0.931994959,0.929344136,0.931309867,0.93131316,0.927928148,0.931648623,0.927781764,0.929153832,0.931163377,0.933639905,0.930645066
small world,0.6,0.847456734,0.860047262,0.875338375,0.860468271,0.866953502,0.858524897,0.869605578,0.864946749,0.854062789,0.849974252,0.832677046,0.853250578,0.867275867,0.842480351,0.858131926,0.851063648,0.855273609,0.864521621,0.844570419,0.860525573
small world,0.7,0.749859491,0.715576432,0.726424999,0.713695435,0.708493576,0.729836432,0.704169737,0.709916697,0.708450306,0.772938348,0.715459052,0.702431616,0.741436568,0.716611474,0.722337906,0.729599002,0.719250239,0.745812845,0.740317042,0.730725003
small world,0.8,0.655887289,0.66641985,0.639435581,0.670735821,0.651512612,0.648385858,0.650903332,0.659417044,0.646024359,0.681552115,0.617128805,0.667010249,0.653424459,0.647361757,0.650939515,0.651019634,0.640880466,0.655551534,0.665748548,0.658865104
small world,0.9,0.636824533,0.630381675,0.635552644,0.644349793,0.647736364,0.62196631,0.618121916,0.646486917,0.661510643,0.60982262,0.64018349,0.640034453,0.629024924,0.655752832,0.641017633,0.631338505,0.638622055,0.607945728,0.66685871,0.636591869
small world,1,0.625520496,0.634992189,0.6097157,0.621034404,0.631561447,0.591297684,0.622047245,0.613502123,0.636444914,0.619159474,0.611906882,0.62346777,0.637989659,0.63323608,0.613333167,0.615124464,0.611672274,0.617736651,0.593460252,0.616231519
scale-free,0,0.948693883,0.949902324,0.950428208,0.948516877,0.948436015,0.948665489,0.947663492,0.947196057,0.94777658,0.949364593,0.948249052,0.948428722,0.950632463,0.950480497,0.948985949,0.947998663,0.948090868,0.94800384,0.949126083,0.949466566
scale-free,0.5,0.941309321,0.938856458,0.941455792,0.941725928,0.925783522,0.935285126,0.942590859,0.923553462,0.9339925,0.939141122,0.941631671,0.920722306,0.936901683,0.931540901,0.937103256,0.942840323,0.923725988,0.94063609,0.903131618,0.931459556
scale-free,0.55,0.924192794,0.921747946,0.938204434,0.911979363,0.877420074,0.844847928,0.94144258,0.824314526,0.913168741,0.939771127,0.938291451,0.889557813,0.92978916,0.919455662,0.933027672,0.822543969,0.919959098,0.911000706,0.93769919,0.904749096
scale-free,0.6,0.777700045,0.827609028,0.899033128,0.900130217,0.822887759,0.887422814,0.815530953,0.846457489,0.896477699,0.838811196,0.880829681,0.916554468,0.886846331,0.920994173,0.864131098,0.891089083,0.878203688,0.88904117,0.865310586,0.896719136
scale-free,0.65,0.769806793,0.672652624,0.842232838,0.873689164,0.734459295,0.701116532,0.761472036,0.701828603,0.866208764,0.842725021,0.81801129,0.886341338,0.802772312,0.735825632,0.886847653,0.761689754,0.758204816,0.877511779,0.751630068,0.750744782
scale-free,0.7,0.810257548,0.647549978,0.880536445,0.761277213,0.693520574,0.810225625,0.724173137,0.726272406,0.667812869,0.648383771,0.637871879,0.713991802,0.811769347,0.760294931,0.806856259,0.752595377,0.64546031,0.781621919,0.80801595,0.713574176
scale-free,0.75,0.655751108,0.730386848,0.749343013,0.716225592,0.630816913,0.784713497,0.62697438,0.665228524,0.705297846,0.625869267,0.795655749,0.663897995,0.668739385,0.783602533,0.681599363,0.65740719,0.713836807,0.780440386,0.698113928,0.736450954
scale-free,0.8,0.73612787,0.632037689,0.690906622,0.649539875,0.672437771,0.659623544,0.642644416,0.641085021,0.632609924,0.666380311,0.643851929,0.624913268,0.632643317,0.707265739,0.665503392,0.679715001,0.678805571,0.61210321,0.666027643,0.64280883
scale-free,1,0.617867833,0.6258329,0.631758507,0.61457012,0.625396397,0.632361336,0.61326061,0.614082183,0.6090442,0.623158794,0.626965381,0.602886809,0.627364261,0.62440746,0.611897996,0.629630604,0.624726168,0.613135921,0.630038363,0.644623696