Number of Agents,Type,Time (minutes)
1000,barabasiGreedy,0.191486667
5000,barabasiGreedy,1.3587
10000,barabasiGreedy,4.947505556
40000,barabasiGreedy,88.92053333
60000,barabasiGreedy,206.6124417
1000,barabasiLabel,0.14982
5000,barabasiLabel,0.28651
10000,barabasiLabel,0.458505556
40000,barabasiLabel,1.653633333
60000,barabasiLabel,2.482208333
1000,scaleFreeGreedy,0.165073333
5000,scaleFreeGreedy,0.553556667
10000,scaleFreeGreedy,1.45817
40000,scaleFreeGreedy,16.98832222
60000,scaleFreeGreedy,48.06434167
1000,scaleFreeLabel,0.1586
5000,scaleFreeLabel,0.434303333
10000,scaleFreeLabel,1.0237
40000,scaleFreeLabel,10.99965556
60000,scaleFreeLabel,24.60946667
1000,newmanLabel,0.16465
5000,newmanLabel,0.414266667
10000,newmanLabel,0.975694444
40000,newmanLabel,10.31344444
60000,newmanLabel,22.33655
1000,newmanGreedy,0.149276667
5000,newmanGreedy,0.370693333
10000,newmanGreedy,0.826038889
40000,newmanGreedy,8.016075
60000,newmanGreedy,17.19434167
1000,wattsGreedy,0.151666667
5000,wattsGreedy,0.3598
10000,wattsGreedy,0.818366667
40000,wattsGreedy,7.131683333
60000,wattsGreedy,15.76928889
1000,wattsLabel,0.153906667
5000,wattsLabel,0.39821
10000,wattsLabel,0.961194444
40000,wattsLabel,10.38760833
60000,wattsLabel,21.77985